NOM_ASSOCIATION;Sigle;RECONNAISSANCE;AXES;ADRESSE;C.P.;LOCALITE;TEL.;FAX;E.MAIL;Site Web
Formation Assistance et Soutien aux Travailleur.euse.s;FAST;DECRET 2003;2;BOULEVARD BAUDOUIN  11;1000;BRUXELLES;02/558 51 70;;fast@cgslb.be;www.fast-asbl.be
Formation Education Culture;FEC;DECRET 2003;1 + 2;CHAUSSEE DE HAECHT  579/50;1031;BRUXELLES;02/246 32 56;02/246 30 10;info@fecasbl.be;www.fecasbl.be
Formation Insertion Jeunes;FIJ;DECRET 2003;1;RUE FRANZ GAILLIARD  2;1060;BRUXELLES;02/542 01 50;02/542 01 59;fij@fij.be;www.fij.be
Formation Léon Lesoil;FLL;DECRET 2003;1;AVENUE DE MONTE-CARLO  69;1190;BRUXELLES;;;formationleonlesoil@gmail.com;www.formationleonlesoil.org
Formation pour l'Université ouverte de Charleroi;FUNOC;DECRET 2003;3;AVENUE DES ALLIES  19;6000;CHARLEROI;071/31 15 81;071/33 32 19;funoc@funoc.be;www.funoc.be
Forum universitaire pour la Coopération internationale au Développement;FUCID;DECRET 2003;1 + 3;RUE DE BRUXELLES  61;5000;NAMUR;081/72 50 88;;info@fucid-unamur.be;www.fucid.be
Frères des Hommes;;DECRET 2003;1;RUE RENKIN  2;1030;BRUXELLES;02/512 97 94;02/511 47 61;fdhbel@skynet.be;www.freresdeshommes.org
Garance;;DECRET 2003;1;RUE ROYALE  55;1000;BRUXELLES;02/216 61 16;02/216 31 16;info@garance.be;www.garance.be
Grain (Le) - Atelier de Pédagogie sociale;;DECRET 2003;3;RUE DU MARTEAU  19;1000;BRUXELLES;02/217 94 48;02/217 94 48;info@legrainasbl.org;www.legrainasbl.org
Grignoux (Les);;DECRET 2003;1 + 3;RUE SOEURS DE HASQUE  9;4000;LIEGE;04/222 27 78;04/222 31 78;contact@grignoux.be;www.grignoux.be
Groupe Alpha Gembloux;GAGX;DECRET 2003;1;CHAUSSEE DE CHARLEROI  65/1;5030;GEMBLOUX;081/60 06 09;;alphagembloux@gmail.com;www.alpha-gembloux.be
Groupe d'Action sociale et scolaire;GASS;DECRET 2003;1;DEGRES DES TISSERANDS  33;4000;LIEGE;04/226 84 84;;gass.alpha.edd@gmail.com;
Groupe d'Animation de la Basse-Sambre;GABS;DECRET 2003;1;RUE DES GLACES NATIONALES  142-144;5060;AUVELAIS;071/78 42 71;071/78 77 30;info@gabs.be;www.gabs.be
Groupe de Recherche et d'Action des Cyclistes quotidiens;GRACQ;DECRET 2003;1;RUE DE LONDRES  15;1050;BRUXELLES;02/502 61 30;02/502 61 30;info@gracq.org;www.gracq.org
Groupe de Recherche et d'Information sur la Paix et la Sécurité;GRIP;DECRET 2003;3;MUNDO-MADOU, AVENUE DES ARTS  7-8;1210;BRUXELLES;02/241 80 96;;admi@grip.org;www.grip.org
Groupe de Recherche pour une Stratégie économique alternative;GRESEA;DECRET 2003;1 + 3;RUE ROYALE  11;1000;BRUXELLES;02/219 70 76;02/219 64 86;info@gresea.be;www.gresea.be
Groupe de Réflexion et d'Action pour une Pédagogie progressiste et alternative;GRAPPA;DECRET 2003;1;RUE JARDON  44;4800;VERVIERS;087/35 21 48;087/78 51 59;grappa@skynet.be;www.asblgrappa.be
Groupe de Réflexion et d'Action pour une Politique écologique;GRAPPE;DECRET 2003;1;RUE RAYMOND NOEL  100;5170;BOIS DE VILLERS;081/23 09 69;081/21 29 53;info@grappebelgique.org;www.grappebelgique.org
Groupe socialiste d'Action et de Réflexion sur l'Audiovisuel;GSARA;DECRET 2003 (Mvt);"Mouv. (1;3;4)";RUE DU MARTEAU  26;1210;BRUXELLES;02/218 58 85;02/217 29 02;info@gsara.be;www.gsara.be
Habitants des Images;;DECRET 2003;1;RUE DE L'ASSOCIATION  14;1000;BRUXELLES;;;admin@habitants-des-images.be;www.habitants-des-images.be
Habitat et Participation;;DECRET 2003;1;TRAVERSE D'ESOPE  6;1348;LOUVAIN-LA-NEUVE;010/45 06 04;010/45 65 64;contact@habitat-participation.be;www.habitat-participation.be
Hispano-Belga;;DECRET 2003;1;CHAUSSEE DE FOREST  244-246;1060;BRUXELLES;02/539 19 39;;accueil.hb@hispano-belga.be;www.hispano-belga.be
Humundi;;DECRET 2003;1;RUE AUX LAINES  4;1000;BRUXELLES;02/548 06 70;;info@humundi.org;www.humundi.org
Iles de Paix;;DECRET 2003;3;RUE DU MARCHE  37;4500;HUY;085/23 02 54;;info@ilesdepaix.org;www.ilesdepaix.org
Inclusion;;DECRET 2003;1 + 4;RUE COLONEL BOURG  123-125/6;1140;BRUXELLES;02/247 28 19;;secretariat@inclusion-asbl.be;www.inclusion-asbl.be
Infor Famille EP Liège;;DECRET 2003;1;RUE DE PITTEURS  8;4020;LIEGE;04/222 45 86;;educationpermanente.liege@inforfamille.be;www.inforfamille.be
Inqlusion;;DECRET 2003;1;RUE MARCHE AU CHARBON  42;1000;BRUXELLES;02/503 59 90;02/503 59 90;info@rainbowhouse.be;www.rainbowhouse.be
Institut de Recherche, de Formation et d'Action sur les Migrations;IRFAM;DECRET 2003;3;RUE AGIMONT  17;4000;LIEGE;04/221 49 89;04/221 49 87;info@irfam.org;www.irfam.org
Institut d'Histoire ouvrière, économique et sociale;IHOES;DECRET 2003;1 + 3;AVENUE MONTESQUIEU  3;4101;JEMEPPE-SERAING;04/224 60 70;04/224 60 71;info@ihoes.be;www.ihoes.be
Institut Emile Vandervelde;IEV;DECRET 2003;3;BOULEVARD DE L'EMPEREUR  13;1000;BRUXELLES;02/548 33 18;;iev@iev.be;www.iev.be
Institut kurde de Bruxelles;;DECRET 2003;1;RUE BONNEELS  16;1210;BRUXELLES;02/230 89 30;02/231 00 97;info@kurdishinstitute.be;www.kurdishinstitute.be
Institut libéral de Formation et d'Animation culturelle;ILFAC;DECRET 2003;1;AVENUE DE LA TOISON D'OR  84-86;1060;BRUXELLES;02/500 50 95;02/500 50 96;info@ilfac.be;www.ilfac.be
Inter-Environnement Bruxelles;IEB;DECRET 2003;1 + 3;RUE DU CHIMISTE  34-36;1070;BRUXELLES;02/801 14 80;;info@ieb.be;www.ieb.be
La Pensée et les Hommes;;DECRET 2003;3;AVENUE VICTORIA  5;1000;BRUXELLES;02/640 15 20;02/650 35 04      ;secretariat@lapenseeetleshommes.be;www.lapenseeetleshommes.be
Laïcité Brabant wallon;CAL BW;DECRET 2003;1;RUE LAMBERT FORTUNE  33;1300;WAVRE;010/22 31 91;010/22 72 11;calbw@laicite.net;www.calbw.be
Lézarts urbains;;DECRET 2003;1;RUE DE LA VICTOIRE  102;1060;BRUXELLES;02/538 15 12;02/538 42 43;;www.lezarts-urbains.be
Liages;;DECRET 2003;1 + 4;PLACE SAINT-JEAN  1;1000;BRUXELLES;02/515 02 65;;liages@solidaris.be;www.liages.be
Ligue de l'Enseignement et de l'Education permanente;LEEP;DECRET 2003;2 + 3;RUE DE LA FONTAINE  2;1000;BRUXELLES;02/511 25 87;02/514 26 01;info@ligue-enseignement.be;www.ligue-enseignement.be
Ligue de l'Enseignement et de l'Education permanente  - Mons-Borinage-Centre;LEEP MBC;DECRET 2003;1;RUE DE LA GRANDE TRIPERIE   44;7000;MONS;065/31 90 14;065/31 90 14;leepmonsbor@yahoo.fr;
Ligue des Droits de l'Enfant;;DECRET 2003;1;HUNDERENVELD  705;1082;BRUXELLES;02/465 98 92;;contact@liguedroitsenfant.be;www.liguedroitsenfant.be
Ligue des Droits humains;LDH;DECRET 2003;1 + 3;RUE DU BOULET  22;1000;BRUXELLES;02/209 62 80;02/209 63 80;ldh@liguedh.be;www.liguedh.be
Ligue des Familles (La);;DECRET 2003 (Mvt);"Mouv. (1;3;4)";AVENUE EMILE DE BECO  109;1050;BRUXELLES;02/507 72 11;;info@liguedesfamilles.be;www.laligue.be
Ligue des Usagers des Services de Santé;LUSS;DECRET 2003;1;AVENUE SERGENT VRITHOFF   123;5000;NAMUR;081/74 44 28;081/74 47 25;luss@luss.be;www.luss.be
Lire et Ecrire;;DECRET 2003 (Mvt);"Mouv. (1;2;3;4)";RUE DES VETERINAIRES  42/4 BLOC A;1070;BRUXELLES;02/502 72 01;02/502 85 56;lire-et-ecrire@lire-et-ecrire.be;www.lire-et-ecrire.be
Louvain Coopération;;DECRET 2003;1;AVENUE DU GRAND CORTIL  15A;1348;LOUVAIN-LA-NEUVE;010/39 03 00;;info@louvaincooperation.org;www.louvaincooperation.org
Magasins du Monde - OXFAM (Les);MDM OXFAM;DECRET 2003 (Mvt);"Mouv. (1;3;4)";RUE PROVINCIALE  285;1301;BIERGES;010/43 79 50;010/43 79 69;info@mdmoxfam.be;www.oxfammagasinsdumonde.be
Maison culturelle belgo-roumaine;ARTHIS;DECRET 2003;1;RUE DE FLANDRE  33;1000;BRUXELLES;02/511 34 20;02/511 34 20;info@arthis.org;www.arthis.org
Maison de Quartier d'Helmet;MQH;DECRET 2003;1;SQUARE RIGA  39;1030;BRUXELLES;02/241 03 27;02/245 55 79;info@mqh.be;www.maisondequartierhelmet.be
Média Animation;;DECRET 2003;1 + 3;RUE DE LA FUSEE  62;1130;BRUXELLES;02/242 57 93;02/245 82 80;info@media-animation.be;www.media-animation.be
Mémoire d'Auschwitz;;DECRET 2003;3;RUE AUX LAINES  17/50;1000;BRUXELLES;02/512 79 98;02/512 58 84;info@auschwitz.be;www.auschwitz.be
Miroir vagabond;;DECRET 2003;1 + 4;VIEILLE ROUTE DE MARENNE  2-4;6990;BOURDON;084/31 19 46;;bureau@miroirvagabond.be;www.miroirvagabond.be
Monde des Possibles (Le);;DECRET 2003;1;RUE DES CHAMPS  97;4020;LIEGE;04/232 02 92;04/232 02 92;lemondedespossibles@skynet.be;www.possibles.org
Monde selon les Femmes (Le);;DECRET 2003;2;RUE DE LA SABLONNIERE  18;1000;BRUXELLES;02/223 05 12;02/223 15 12;contact@mondefemmes.org;www.mondefemmes.org
Monty (Le);;DECRET 2003;1;RUE DE CHARLEROI  58;1470;GENAPPE;0492/85 70 72;;info@lemonty.be;www.lemonty.be
Mouvance;;DECRET 2003;1;RUE DU BROECK  10/3.2;1070;BRUXELLES;;;commu@mouvance-asbl.be;www.mouvance-asbl.be
Mouvement contre le Racisme, l'Antisémitisme et la Xénophobie;MRAX;DECRET 2003;1;RUE DE LA POSTE  37;1210;BRUXELLES;02/209 62 50;02/218 23 71;mrax@mrax.be;www.mrax.be
Natagora;;DECRET 2003;1 + 4;TRAVERSE DES MUSES  1;5000;NAMUR;02/893 09 91;;info@natagora.be;www.natagora.be
Nature & Progrès;;DECRET 2003;1 + 3;RUE DE DAVE  520;5100;JAMBES;081/30 36 90;081/31 03 06;info@natpro.be;www.natpro.be
Nature Attitude;;DECRET 2003;1;RUE DE LA COMTESSE ADELE  36;6721;ANLIER;063/42 47 27;;info@natureattitude.be;www.natureattitude.be
Nova;;DECRET 2003;1;RUE D'ARENBERG  14;1000;BRUXELLES;02/511 24 77;02/511 24 77;nova@nova-cinema.org;www.nova-cinema.org
Options - Développement communautaire;;DECRET 2003;1;PLACE DU CHATELET  7A;4960;MALMEDY;080/33 99 37;080/33 93 20;optionsmalmedy@gmail.com;
Organisme régional d'Education à l'Environnement - Orée (L');OREE;DECRET 2003;1;RUE SAINT-GERMAIN  166;4861;SOIRON;0472/78 96 96;;oreeasbl@gmail.com;www.oreeasbl.worldpress.com
Partenariat Intégration Cohabitation de Laeken;PICOL;DECRET 2003;1;BOULEVARD EMILE BOCKSTAEL  160;1020;BRUXELLES;02/675 05 95;;info@picol.be;www.picol.be
Passe Muraille;;DECRET 2003;1 + 4;LOTTO MONS EXPO, HALL A, AVENUE THOMAS EDISON  2;7000;MONS;065/77 03 70;065/77 03 73;info@passe-muraille.be;www.passe-muraille.be
People's Place;;DECRET 2003;1;RUE JEAN-HUBERT CAVENS  49;4960;MALMEDY;080/64 36 93;;info@peoplesplace.be;www.peoplesplace.be
Periferia;;DECRET 2003;1 + 3;RUE DE LA COLONNE  1;1080;BRUXELLES;02/544 07 93;02/411 93 31;contact@periferia.be;www.periferia.be
Petit Théâtre de la Grande Vie (Le);;DECRET 2003;1;RUE DU BONNIER  12;5580;FORZEE;083/61 32 60;;petittheatreforzee@gmail.com;www.lepetittheatredelagrandevie.com/
Peuple et Culture - Wallonie et Bruxelles;PEC W-B;DECRET 2003;1 + 2;RUE DU BEAU MUR  45;4030;LIEGE (Grivegnée);04/368 82 32;;info@peuple-et-culture-wb.be;www.peuple-et-culture-wb.be
Pianocktail (Le);;DECRET 2003;1;RUE HAUTE  304;1000;BRUXELLES;02/218 46 34;;lepianocktail.bruxelles@gmail.com;www.pianocktail.be
Piment (Le);;DECRET 2003;1;RUE DE LA COLONNE  56;1080;BRUXELLES;02/218 27 29;02/219 36 27;courrier@lepiment.org;www.lepiment.org
Pivot (Le) - Promotion communautaire;;DECRET 2003;1;RUE PHILIPPE BAUCQ  163;1040;BRUXELLES;;;lepivot@lepivot.be;www.lepivot.be
Plate-forme francophone du Volontariat;;DECRET 2003;4;PLACE L'ILON  13;5000;NAMUR;02/512 01 12;;info@levolontariat.be;www.levolontariat.be
Poisson sans Bicyclette (Le);;DECRET 2003;1;RUE DU PONT NEUF  4;1000;BRUXELLES;;;lepoissonsansbicyclette@gmail.com;www.lepoissonsansbicyclette.be
Politique;;DECRET 2003;3;RUE DU FAUCON  9;1000;BRUXELLES;02/538 69 96;;info@revuepolitique.be;www.revuepolitique.be
Présence et Action culturelles;PAC;DECRET 2003 (Mvt);"Mouv. (1;2;3;4)";RUE LAMBERT CRICKX  5;1070;BRUXELLES;02/545 79 11;02/545 79 29;info@pac-g.be;www.pac-g.be
Promotion & Culture;P&C;DECRET 2003;1;PLACE SAINT-PAUL  9-11;4000;LIEGE;04/221 95 11;04/223 11 44;info@promotionetculture.be;www.promotionetculture.be/
Qualité Village Wallonie;QVW;DECRET 2003;1;CHAUSSEE D'ARGENTEAU  21;4601;ARGENTEAU;04/379 05 01;04/379 11 53;contact@qvw.be;www.qvw.be
Question Santé;QS;DECRET 2003;3;RUE DU VIADUC  72;1050;BRUXELLES;02/512 41 74;02/512 54 36;info@questionsante.org;www.questionsante.org
Radio Panik;;DECRET 2003;3;RUE SAINT-JOSSE  49;1210;BRUXELLES;02/732 14 45;02/732 14 45;info@radiopanik.org;www.radiopanik.org
Ras El Hanout;;DECRET 2003;1;RUE DU RUISSEAU  17-19;1080;BRUXELLES;0488/01 14 11;;info@ras-el-hanout.be;www.ras-el-hanout.be
Rassemblement bruxellois pour le Droit à l'Habitat;RBDH;DECRET 2003;3;QUAI DU HAINAUT   29;1080;BRUXELLES;02/502 84 63;02/503 49 05;info@rbdh.be;www.rbdh.be
Réalisation Téléformation Animation;RTA;DECRET 2003;3;RUE DES RELIS NAMURWES  1;5000;NAMUR;081/74 67 48;081/74 24 73;info@rta.be;www.rta.be
Rencontre des Continents;;DECRET 2003;1;RUE VAN ELEWIJCK  35;1050;BRUXELLES;02/734 23 24;;;rencontredescontinents.be
Réseau de Collectifs en Recherche de Résilience;RCR2;DECRET 2003;3;PLACE L'ILON  13;5000;NAMUR;0495/79 86 33;;info@asblrcr.be;www.asblrcr.be
Réseau IDée - Information et Diffusion en Education à l'Environnement;;DECRET 2003;3;RUE ROYALE  266;1210;BRUXELLES;02/286 95 70;02/286 95 79;info@reseau-idee.be;www.reseau-idee.be
Réseau wallon de Lutte contre la Pauvreté;RWLP;DECRET 2003;1 + 4;RUE MARIE-HENRIETTE  12;5000;NAMUR;081/31 21 17;;bureau@rwlp.be;www.rwlp.be
Revers;;DECRET 2003;1;RUE MAGHIN  76-78;4000;LIEGE;04/227 02 58;02/227 02 97;info@revers.be;www.revers.be
Rue (La);;DECRET 2003;1;RUE RANSFORT  61;1080;BRUXELLES;02/410 33 03;02/410 39 85;info@larueasbl.be;www.larueasbl.be
ScriptaLinea - Collectifs d'Ecrits;;DECRET 2003;1;CHAUSSEE DE WAVRE  205;1050;BRUXELLES;02/688 46 90;;info@scriptalinea.org;www.scriptalinea.org
Service d'Intégration et d'Insertion - Missions Actions;SIMA;DECRET 2003;1;RUE BRIALMONT  21;1210;BRUXELLES;02/219 45 98;02/218 38 68;sima.asbl@skynet.be;www.simaasbl.be
Service international de Recherche, d'Education et d'Action sociale;SIREAS;DECRET 2003;1 + 3;RUE DU BOULET  26;1000;BRUXELLES;02/274 15 51;02/274 15 58;sireas@sireas.be;www.sireas.be
Service pour la Transformation, l'Innovation et le Changement social;STICS;DECRET 2003;2;BOULEVARD LAMBERMONT  32;1030;BRUXELLES;02/414 23 04;;stics@stics.be;www.stics.be
Silex (Le);;DECRET 2003;1;RUE VOOT  82;1200;BRUXELLES;02/762 40 09;02/779 15 75;info@lesilex.be;www.lesilex.be
Sofélia;;DECRET 2003;4;PLACE SAINT-JEAN  1/2;1000;BRUXELLES;02/515 17 68;;sofelia@solidaris.be;www.sofelia.be
Solidarité des Alternatives wallonnes et bruxelloises;SAW-B;DECRET 2003;1 + 3;RUE MONCEAU FONTAINE  42/6;6031;MONCEAU-SUR-SAMBRE;071/53 28 30;071/53 28 31;info@saw-b.be;www.saw-b.be
Solidarité Femmes et Refuge pour Femmes Victimes de Violences;;DECRET 2003;1;RUE DE L'OLIVE  43;7100;LA LOUVIERE;064/21 33 03;064/28 02 41;solidaritefemmes@skynet.be;www.solidarite-femmes.be
Solidarités nouvelles;;DECRET 2003;1;BOULEVARD. J. BERTRAND  8;6000;CHARLEROI;071/30 36 77;071/30 69 50;sn.secretariat@skynet.be;www.solidaritesnouvelles.org
Soralia;;DECRET 2003 (Mvt);"Mouv. (1;3;4)";PLACE  SAINT-JEAN  1/2;1000;BRUXELLES;02/515 04 01;;soralia@solidaris.be;www.soralia.be
Source;;DECRET 2003;1;RUE DE LA SENNE  78;1000;BRUXELLES;02/512 71 75;;info@sourceasbl.be;www.sourceasbl.be
Spirale (La) - Centre des Métiers d'Art;;DECRET 2003;1;CHAUSSEE DE NAMUR  22;5360;NATOYE;083/69 07 90;;contact@laspirale.be;www.laspirale.be
Syndicat des Locataires;;DECRET 2003;1;SQUARE ALBERT Ier  32;1070;BRUXELLES;02/522 98 69;02/524 18 16;syndicatdeslocataires@gmail.com;syndicatdeslocataires.wordpress.com/
Télévision du Monde;;DECRET 2003;3;RUE DE BRUXELLES  36;5000;NAMUR;081/45 46 68;;tdm@televisiondumonde.be;www.televisiondumonde.be
Tels quels;;DECRET 2003;1;PLACE DE LA LIBERTE  4;1000;BRUXELLES;02/512 45 87;02/511 31 48;info@telsquels.be;telsquels.be
Terre;;DECRET 2003;1;RUE DE MILMORT  690;4040;HERSTAL;04/240 58 58;;info@groupeterre.org;www.terre.be
Terre-en-vue;;DECRET 2003;1;CHAUSSEE DE WAVRE  37;5030;GEMBLOUX;0483/49 22 56;;info@terre-en-vue.be;www.terre-en-vue.be
Territoires de la Mémoire (Les);;DECRET 2003;1 + 3;BOULEVARD DE LA SAUVENIERE  33-35;4000;LIEGE;04/232 70 64;04/232 70 65;accueil@territoires-memoire.be;www.territoires-memoire.be
Théâtre de la Parole;;DECRET 2003;3;RUE DU ROUGE-CLOÎTRE  7D;1160;BRUXELLES;02/736 69 50;;info@theatredelaparole.be;www.theatredelaparole.be
Troisième Oeil (Le);;DECRET 2003;1;RUE DU MONITEUR  18;1000;BRUXELLES;02/427 75 42;02/427 75 42;troisiemeoeil@gmail.com;www.letroisemeoeil.be
Union des Agricultrices wallonnes;UAW;DECRET 2003;1;CHAUSSEE DE NAMUR  47;5030;GEMBLOUX;081/60 00 60;081/60 04 46;uaw@fwa.be;uniondesagricultriceswallonnes.be/
Union des Progressistes juifs de Belgique;UPJB;DECRET 2003;1;RUE DE LA VICTOIRE  61;1060;BRUXELLES;02/537 82 45;02/534.66.96;info@upjb.be;www.upjb.be
Union francophone des Associations de Parents de l'Enseignement catholique;UFAPEC;DECRET 2003;3;AVENUE DES COMBATTANTS  24;1340;OTTIGNIES;010/42 00 50;010/42 00 59;info@ufapec.be;www.ufapec.be
Université des Femmes;;DECRET 2003;1 + 3;RUE DU MERIDIEN  10;1210;BRUXELLES;02/229 38 25;02/229 38 53;info@universitedesfemmes.be;www.universitedesfemmes.be
Urbagora;;DECRET 2003;3;RUE SAINT-DENIS  10;4000;LIEGE;;;secretariat@urbagora.be;urbagora.be
Vie féminine;VF;DECRET 2003 (Mvt);"Mouv. (1;2;3;4)";RUE DE LA POSTE  111;1030;BRUXELLES;02/227 13 00;02/223 04 42;secretariat-national@viefeminine.be;www.viefeminine.be
Voix de Femmes;;DECRET 2003;1;RUE SAINT-THOMAS  32;4000;LIEGE;04/257 48 14;;contact@voixdefemmes.org;www.voixdefemmes.org
Voix des Femmes (La);;DECRET 2003;1;RUE DE L'ALLIANCE  18;1210;BRUXELLES;02/218 77 87;02/219 60 85;lvdf@lavoixdesfemmes.org;www.lavoixdesfemmes.org
Wolu-Inter-Quartiers;WIQ;DECRET 2003;1;AVENUE DU CAPRICORNE  1A;1200;BRUXELLES;02/762 39 44;02/762 39 44;info@wiq.be;wiq.be
WWF - Belgique;WWF;DECRET 2003;4;BOULEVARD EMILE JACQMAIN  90;1000;BRUXELLES;02/340 09 99;02/340 09 77;events@wwf.be;www.wwf.be
Z - Les Amis d'Esperanzah;;DECRET 2003;4;RUE CELESTIN HASTIR  105;5150;FLOREFFE;081/44 15 18;;info@esperanzah.be;www.esperanzah.be
Zéphyr;;DECRET 2003;1;RUE DU COLLEGE  31;4600;VISE;04/374 31 45;;info@zephyr-formation.be;zephyr-formation.be
Zin TV;;DECRET 2003;1 + 3;CHAUSSEE DE JETTE  407;1090;BRUXELLES;02/318 41 49;;contact@zintv.org;www.zintv.org
